id,name,sector,score,date
10,Automated,Dev,42,2025-11-20 21:17:23.25943+00
20,Automated,Dev,42,2025-11-20 21:17:23.25943+00
14,fff,DETI,10,2025-11-04 16:27:33.445+00
4,fff,DETI,10,2025-11-04 16:27:33.445+00
21,E2E Test,QA,5,2025-11-20 22:14:29.245517+00
19,JPSA,DEIRC,3,2025-11-10 18:36:53.873+00
6,teste,teste,3,2025-11-04 18:57:11.082+00
5,JPSA,DETI,3,2025-11-04 18:42:53.475+00
15,JPSA,DETI,3,2025-11-04 18:42:53.475+00
16,teste,teste,3,2025-11-04 18:57:11.082+00
9,JPSA,DEIRC,3,2025-11-10 18:36:53.873+00
22,João,Abreu,2,2025-11-20 22:16:38.723847+00
2,fff,DETI,2,2025-11-04 16:18:34.103+00
3,fff,DETI,2,2025-11-04 16:21:12.971+00
7,Claudio,Assis,2,2025-11-04 19:02:16.41+00
8,gh,hdahf,2,2025-11-10 18:28:43.207+00
11,fff,DETI,2,2025-11-04 15:22:02.077+00
12,fff,DETI,2,2025-11-04 16:18:34.103+00
13,fff,DETI,2,2025-11-04 16:21:12.971+00
17,Claudio,Assis,2,2025-11-04 19:02:16.41+00
18,gh,hdahf,2,2025-11-10 18:28:43.207+00
1,fff,DETI,2,2025-11-04 15:22:02.077+00
